"id","source","target","type","fidelity","likelihood"
"mech.start_date_slippage_and_post_acceptance_revocation->operates_at->bar.probation_period_post_start_confirmation","mech.start_date_slippage_and_post_acceptance_revocation","bar.probation_period_post_start_confirmation","operates_at","",""
"mech.start_date_slippage_and_post_acceptance_revocation->emits->obs.offer_accepted_followed_by_delayed_start_date_or_post_signing_revocation","mech.start_date_slippage_and_post_acceptance_revocation","obs.offer_accepted_followed_by_delayed_start_date_or_post_signing_revocation","emits","direct","high"
"mech.start_date_slippage_and_post_acceptance_revocation->emits->obs.complete_silence_after_submission","mech.start_date_slippage_and_post_acceptance_revocation","obs.complete_silence_after_submission","emits","void","medium"
"mech.start_date_slippage_and_post_acceptance_revocation->emits->obs.offer_rescinded_or_delayed_due_to_internal_freeze","mech.start_date_slippage_and_post_acceptance_revocation","obs.offer_rescinded_or_delayed_due_to_internal_freeze","emits","euphemism","medium"
"mech.stronger_competing_candidate_in_final_cohort->operates_at->bar.hiring_manager_in_depth_review","mech.stronger_competing_candidate_in_final_cohort","bar.hiring_manager_in_depth_review","operates_at","",""
"mech.stronger_competing_candidate_in_final_cohort->operates_at->bar.team_cross_functional_panel","mech.stronger_competing_candidate_in_final_cohort","bar.team_cross_functional_panel","operates_at","",""
"mech.stronger_competing_candidate_in_final_cohort->operates_at->bar.headcount_executive_budget_approval","mech.stronger_competing_candidate_in_final_cohort","bar.headcount_executive_budget_approval","operates_at","",""
"mech.stronger_competing_candidate_in_final_cohort->emits->obs.generic_closer_alignment_rejection_template","mech.stronger_competing_candidate_in_final_cohort","obs.generic_closer_alignment_rejection_template","emits","euphemism","high"
"mech.stronger_competing_candidate_in_final_cohort->emits->obs.position_closed_after_final_interview_without_hire","mech.stronger_competing_candidate_in_final_cohort","obs.position_closed_after_final_interview_without_hire","emits","distortion","low"
"mech.stronger_competing_candidate_in_final_cohort->masks->mech.genuine_technical_skill_shortfall","mech.stronger_competing_candidate_in_final_cohort","mech.genuine_technical_skill_shortfall","masks","",""
"mech.take_home_evaluation_fatigue_asymmetry->operates_at->bar.take_home_work_sample_evaluation","mech.take_home_evaluation_fatigue_asymmetry","bar.take_home_work_sample_evaluation","operates_at","",""
"mech.take_home_evaluation_fatigue_asymmetry->emits->obs.take_home_assignment_exceeding_reasonable_stated_scope","mech.take_home_evaluation_fatigue_asymmetry","obs.take_home_assignment_exceeding_reasonable_stated_scope","emits","noise","medium"
"mech.take_home_evaluation_fatigue_asymmetry->emits->obs.generic_closer_alignment_rejection_template","mech.take_home_evaluation_fatigue_asymmetry","obs.generic_closer_alignment_rejection_template","emits","euphemism","high"
"mech.take_home_evaluation_fatigue_asymmetry->amplifies->mech.interview_resource_scheduling_saturation","mech.take_home_evaluation_fatigue_asymmetry","mech.interview_resource_scheduling_saturation","amplifies","",""
"mech.take_home_evaluation_fatigue_asymmetry->masks->mech.genuine_technical_skill_shortfall","mech.take_home_evaluation_fatigue_asymmetry","mech.genuine_technical_skill_shortfall","masks","",""
"mech.unstated_compensation_band_discrepancy->operates_at->bar.recruiter_screening_call","mech.unstated_compensation_band_discrepancy","bar.recruiter_screening_call","operates_at","",""
"mech.unstated_compensation_band_discrepancy->operates_at->bar.compensation_levelling_reconciliation","mech.unstated_compensation_band_discrepancy","bar.compensation_levelling_reconciliation","operates_at","",""
"mech.unstated_compensation_band_discrepancy->emits->obs.generic_closer_alignment_rejection_template","mech.unstated_compensation_band_discrepancy","obs.generic_closer_alignment_rejection_template","emits","euphemism","high"
"mech.unstated_compensation_band_discrepancy->emits->obs.compensation_band_reduced_or_altered_mid_process","mech.unstated_compensation_band_discrepancy","obs.compensation_band_reduced_or_altered_mid_process","emits","direct","medium"
"mech.unstated_compensation_band_discrepancy->emits->obs.feedback_stating_candidate_is_overqualified_for_the_grade","mech.unstated_compensation_band_discrepancy","obs.feedback_stating_candidate_is_overqualified_for_the_grade","emits","euphemism","medium"
"mech.unstated_compensation_band_discrepancy->amplifies->mech.mid_process_role_requirement_redefinition","mech.unstated_compensation_band_discrepancy","mech.mid_process_role_requirement_redefinition","amplifies","",""
"mech.unstated_compensation_band_discrepancy->masks->mech.genuine_technical_skill_shortfall","mech.unstated_compensation_band_discrepancy","mech.genuine_technical_skill_shortfall","masks","",""
"obs.position_closed_after_final_interview_without_hire->instantiates->pat.closed_then_reposted_requisition_motif","obs.position_closed_after_final_interview_without_hire","pat.closed_then_reposted_requisition_motif","instantiates","",""
"obs.materially_similar_role_reposted_shortly_after_rejection->instantiates->pat.closed_then_reposted_requisition_motif","obs.materially_similar_role_reposted_shortly_after_rejection","pat.closed_then_reposted_requisition_motif","instantiates","",""
"mech.stronger_competing_candidate_in_final_cohort->instantiates->pat.closed_then_reposted_requisition_motif","mech.stronger_competing_candidate_in_final_cohort","pat.closed_then_reposted_requisition_motif","instantiates","",""
"mech.stale_or_orphaned_job_requisition->instantiates->pat.closed_then_reposted_requisition_motif","mech.stale_or_orphaned_job_requisition","pat.closed_then_reposted_requisition_motif","instantiates","",""
"mech.hidden_evaluation_rubric_or_undisclosed_priority->instantiates->pat.closed_then_reposted_requisition_motif","mech.hidden_evaluation_rubric_or_undisclosed_priority","pat.closed_then_reposted_requisition_motif","instantiates","",""
"mech.mid_process_role_requirement_redefinition->instantiates->pat.closed_then_reposted_requisition_motif","mech.mid_process_role_requirement_redefinition","pat.closed_then_reposted_requisition_motif","instantiates","",""
"obs.generic_closer_alignment_rejection_template->instantiates->pat.compensation_double_bind","obs.generic_closer_alignment_rejection_template","pat.compensation_double_bind","instantiates","",""
"obs.compensation_band_reduced_or_altered_mid_process->instantiates->pat.compensation_double_bind","obs.compensation_band_reduced_or_altered_mid_process","pat.compensation_double_bind","instantiates","",""
"mech.unstated_compensation_band_discrepancy->instantiates->pat.compensation_double_bind","mech.unstated_compensation_band_discrepancy","pat.compensation_double_bind","instantiates","",""
"mech.experience_age_grading_mismatch->instantiates->pat.compensation_double_bind","mech.experience_age_grading_mismatch","pat.compensation_double_bind","instantiates","",""
"obs.generic_closer_alignment_rejection_template->instantiates->pat.experience_age_impossibility","obs.generic_closer_alignment_rejection_template","pat.experience_age_impossibility","instantiates","",""
"obs.rejection_within_minutes_of_application_submission->instantiates->pat.experience_age_impossibility","obs.rejection_within_minutes_of_application_submission","pat.experience_age_impossibility","instantiates","",""
"mech.automated_keyword_qualification_filter->instantiates->pat.experience_age_impossibility","mech.automated_keyword_qualification_filter","pat.experience_age_impossibility","instantiates","",""
"mech.inflated_requisition_requirements_vs_actual_team_needs->instantiates->pat.experience_age_impossibility","mech.inflated_requisition_requirements_vs_actual_team_needs","pat.experience_age_impossibility","instantiates","",""
"obs.generic_closer_alignment_rejection_template->instantiates->pat.seniority_double_bind","obs.generic_closer_alignment_rejection_template","pat.seniority_double_bind","instantiates","",""
"obs.feedback_stating_candidate_is_overqualified_for_the_grade->instantiates->pat.seniority_double_bind","obs.feedback_stating_candidate_is_overqualified_for_the_grade","pat.seniority_double_bind","instantiates","",""
"mech.genuine_technical_skill_shortfall->instantiates->pat.seniority_double_bind","mech.genuine_technical_skill_shortfall","pat.seniority_double_bind","instantiates","",""
"mech.unstated_compensation_band_discrepancy->instantiates->pat.seniority_double_bind","mech.unstated_compensation_band_discrepancy","pat.seniority_double_bind","instantiates","",""
"mech.experience_age_grading_mismatch->instantiates->pat.seniority_double_bind","mech.experience_age_grading_mismatch","pat.seniority_double_bind","instantiates","",""
"int.auto_close_stale_job_requisitions->targets->mech.stale_or_orphaned_job_requisition","int.auto_close_stale_job_requisitions","mech.stale_or_orphaned_job_requisition","targets","",""
"int.auto_close_stale_job_requisitions->targets->bar.application_ingestion","int.auto_close_stale_job_requisitions","bar.application_ingestion","targets","",""
"int.auto_close_stale_job_requisitions->mitigates->pat.closed_then_reposted_requisition_motif","int.auto_close_stale_job_requisitions","pat.closed_then_reposted_requisition_motif","mitigates","",""
"int.auto_close_stale_job_requisitions->mitigates->loop.inflated_requirements_search_saturation_loop","int.auto_close_stale_job_requisitions","loop.inflated_requirements_search_saturation_loop","mitigates","",""
"int.candidate_ats_parser_conformance_test_utility->targets->mech.ats_parser_extraction_failure","int.candidate_ats_parser_conformance_test_utility","mech.ats_parser_extraction_failure","targets","",""
"int.candidate_ats_parser_conformance_test_utility->targets->bar.automated_filter_parser_threshold","int.candidate_ats_parser_conformance_test_utility","bar.automated_filter_parser_threshold","targets","",""
"int.candidate_ats_parser_conformance_test_utility->mitigates->pat.experience_age_impossibility","int.candidate_ats_parser_conformance_test_utility","pat.experience_age_impossibility","mitigates","",""
"int.candidate_work_index_submitted_with_the_application->targets->mech.portfolio_work_artifact_misinterpretation","int.candidate_work_index_submitted_with_the_application","mech.portfolio_work_artifact_misinterpretation","targets","",""
"int.candidate_work_index_submitted_with_the_application->targets->bar.technical_screen_live_assessment","int.candidate_work_index_submitted_with_the_application","bar.technical_screen_live_assessment","targets","",""
"int.candidate_work_index_submitted_with_the_application->targets->bar.inbound_screening_triage","int.candidate_work_index_submitted_with_the_application","bar.inbound_screening_triage","targets","",""
"int.dated_funding_certification_before_the_final_round->targets->bar.headcount_executive_budget_approval","int.dated_funding_certification_before_the_final_round","bar.headcount_executive_budget_approval","targets","",""
"int.dated_funding_certification_before_the_final_round->targets->bar.offer_closing_contract_execution","int.dated_funding_certification_before_the_final_round","bar.offer_closing_contract_execution","targets","",""
"int.dated_funding_certification_before_the_final_round->targets->mech.headcount_freeze_or_budget_cancellation","int.dated_funding_certification_before_the_final_round","mech.headcount_freeze_or_budget_cancellation","targets","",""
"int.distinct_closure_status_for_unreviewed_applications->targets->bar.inbound_screening_triage","int.distinct_closure_status_for_unreviewed_applications","bar.inbound_screening_triage","targets","",""
"int.distinct_closure_status_for_unreviewed_applications->targets->mech.recruiter_volume_quota_incentive_distortion","int.distinct_closure_status_for_unreviewed_applications","mech.recruiter_volume_quota_incentive_distortion","targets","",""
"int.distinct_closure_status_for_unreviewed_applications->targets->mech.automated_application_expiration_timeout","int.distinct_closure_status_for_unreviewed_applications","mech.automated_application_expiration_timeout","targets","",""
"int.internal_candidacy_stated_in_the_posting->targets->mech.pre_selected_internal_candidate","int.internal_candidacy_stated_in_the_posting","mech.pre_selected_internal_candidate","targets","",""
"int.internal_candidacy_stated_in_the_posting->targets->bar.requisition_approval_public_posting","int.internal_candidacy_stated_in_the_posting","bar.requisition_approval_public_posting","targets","",""
"int.interview_seats_booked_with_prep_time_and_a_second_name_on_the_rota->targets->mech.interview_resource_scheduling_saturation","int.interview_seats_booked_with_prep_time_and_a_second_name_on_the_rota","mech.interview_resource_scheduling_saturation","targets","",""
"int.interview_seats_booked_with_prep_time_and_a_second_name_on_the_rota->targets->bar.technical_screen_live_assessment","int.interview_seats_booked_with_prep_time_and_a_second_name_on_the_rota","bar.technical_screen_live_assessment","targets","",""
"int.outreach_states_the_requisition_behind_it->targets->bar.outbound_sourcing_talent_pool_contact","int.outreach_states_the_requisition_behind_it","bar.outbound_sourcing_talent_pool_contact","targets","",""
"int.outreach_states_the_requisition_behind_it->targets->mech.speculative_sourcing_talent_pooling_without_opening","int.outreach_states_the_requisition_behind_it","mech.speculative_sourcing_talent_pooling_without_opening","targets","",""
"int.outreach_states_the_requisition_behind_it->targets->mech.bid_conditional_talent_pool","int.outreach_states_the_requisition_behind_it","mech.bid_conditional_talent_pool","targets","",""
"int.publish_the_technical_screen_s_columns_and_threshold_before_the_round->targets->bar.technical_screen_live_assessment","int.publish_the_technical_screen_s_columns_and_threshold_before_the_round","bar.technical_screen_live_assessment","targets","",""
"int.publish_the_technical_screen_s_columns_and_threshold_before_the_round->targets->mech.interview_resource_scheduling_saturation","int.publish_the_technical_screen_s_columns_and_threshold_before_the_round","mech.interview_resource_scheduling_saturation","targets","",""
"int.recorded_finalist_standing_with_a_dated_re_entry_route->targets->mech.stronger_competing_candidate_in_final_cohort","int.recorded_finalist_standing_with_a_dated_re_entry_route","mech.stronger_competing_candidate_in_final_cohort","targets","",""
"int.recorded_finalist_standing_with_a_dated_re_entry_route->targets->bar.headcount_executive_budget_approval","int.recorded_finalist_standing_with_a_dated_re_entry_route","bar.headcount_executive_budget_approval","targets","",""
"int.recorded_finalist_standing_with_a_dated_re_entry_route->mitigates->pat.closed_then_reposted_requisition_motif","int.recorded_finalist_standing_with_a_dated_re_entry_route","pat.closed_then_reposted_requisition_motif","mitigates","",""
"int.remove_career_gap_feature_from_automated_ranking_models->targets->mech.employment_gap_downranking_bias","int.remove_career_gap_feature_from_automated_ranking_models","mech.employment_gap_downranking_bias","targets","",""
"int.remove_career_gap_feature_from_automated_ranking_models->mitigates->loop.employment_gap_penalty_loop","int.remove_career_gap_feature_from_automated_ranking_models","loop.employment_gap_penalty_loop","mitigates","",""
"int.requirements_drawn_from_the_team_s_own_backlog->targets->mech.inflated_requisition_requirements_vs_actual_team_needs","int.requirements_drawn_from_the_team_s_own_backlog","mech.inflated_requisition_requirements_vs_actual_team_needs","targets","",""
"int.requirements_drawn_from_the_team_s_own_backlog->targets->bar.requisition_approval_public_posting","int.requirements_drawn_from_the_team_s_own_backlog","bar.requisition_approval_public_posting","targets","",""
"int.requirements_drawn_from_the_team_s_own_backlog->mitigates->loop.inflated_requirements_search_saturation_loop","int.requirements_drawn_from_the_team_s_own_backlog","loop.inflated_requirements_search_saturation_loop","mitigates","",""
"int.screening_note_bound_to_observations_and_disposition_codes->targets->bar.inbound_screening_triage","int.screening_note_bound_to_observations_and_disposition_codes","bar.inbound_screening_triage","targets","",""
"int.screening_note_bound_to_observations_and_disposition_codes->targets->mech.experience_age_grading_mismatch","int.screening_note_bound_to_observations_and_disposition_codes","mech.experience_age_grading_mismatch","targets","",""
"int.screening_note_bound_to_observations_and_disposition_codes->targets->mech.portfolio_work_artifact_misinterpretation","int.screening_note_bound_to_observations_and_disposition_codes","mech.portfolio_work_artifact_misinterpretation","targets","",""
"int.standardized_late_stage_rejection_feedback_taxonomy->targets->mech.genuine_technical_skill_shortfall","int.standardized_late_stage_rejection_feedback_taxonomy","mech.genuine_technical_skill_shortfall","targets","",""
"int.standardized_late_stage_rejection_feedback_taxonomy->targets->mech.hidden_evaluation_rubric_or_undisclosed_priority","int.standardized_late_stage_rejection_feedback_taxonomy","mech.hidden_evaluation_rubric_or_undisclosed_priority","targets","",""
"int.standardized_late_stage_rejection_feedback_taxonomy->targets->bar.hiring_manager_in_depth_review","int.standardized_late_stage_rejection_feedback_taxonomy","bar.hiring_manager_in_depth_review","targets","",""
"int.standardized_late_stage_rejection_feedback_taxonomy->targets->bar.team_cross_functional_panel","int.standardized_late_stage_rejection_feedback_taxonomy","bar.team_cross_functional_panel","targets","",""
"int.standardized_late_stage_rejection_feedback_taxonomy->targets->bar.client_profile_approval_and_client_interview","int.standardized_late_stage_rejection_feedback_taxonomy","bar.client_profile_approval_and_client_interview","targets","",""
"int.standardized_late_stage_rejection_feedback_taxonomy->mitigates->pat.seniority_double_bind","int.standardized_late_stage_rejection_feedback_taxonomy","pat.seniority_double_bind","mitigates","",""
"int.standardized_late_stage_rejection_feedback_taxonomy->mitigates->pat.closed_then_reposted_requisition_motif","int.standardized_late_stage_rejection_feedback_taxonomy","pat.closed_then_reposted_requisition_motif","mitigates","",""
"int.standardized_late_stage_rejection_feedback_taxonomy->mitigates->loop.inflated_requirements_search_saturation_loop","int.standardized_late_stage_rejection_feedback_taxonomy","loop.inflated_requirements_search_saturation_loop","mitigates","",""
"int.strict_take_home_timebox_blinded_evaluation_rubric->targets->mech.take_home_evaluation_fatigue_asymmetry","int.strict_take_home_timebox_blinded_evaluation_rubric","mech.take_home_evaluation_fatigue_asymmetry","targets","",""
"int.strict_take_home_timebox_blinded_evaluation_rubric->mitigates->loop.take_home_opportunity_cost_saturation_loop","int.strict_take_home_timebox_blinded_evaluation_rubric","loop.take_home_opportunity_cost_saturation_loop","mitigates","",""
"int.strict_take_home_timebox_blinded_evaluation_rubric->targets->bar.take_home_work_sample_evaluation","int.strict_take_home_timebox_blinded_evaluation_rubric","bar.take_home_work_sample_evaluation","targets","",""
"int.upfront_compensation_band_disclosure->targets->mech.unstated_compensation_band_discrepancy","int.upfront_compensation_band_disclosure","mech.unstated_compensation_band_discrepancy","targets","",""
"int.upfront_compensation_band_disclosure->targets->bar.recruiter_screening_call","int.upfront_compensation_band_disclosure","bar.recruiter_screening_call","targets","",""
"int.upfront_compensation_band_disclosure->targets->bar.compensation_levelling_reconciliation","int.upfront_compensation_band_disclosure","bar.compensation_levelling_reconciliation","targets","",""
"int.upfront_compensation_band_disclosure->mitigates->pat.seniority_double_bind","int.upfront_compensation_band_disclosure","pat.seniority_double_bind","mitigates","",""
"int.upfront_compensation_band_disclosure->mitigates->pat.compensation_double_bind","int.upfront_compensation_band_disclosure","pat.compensation_double_bind","mitigates","",""
"int.verification_discrepancy_disclosure_and_reconciliation_window->targets->bar.reference_background_verification","int.verification_discrepancy_disclosure_and_reconciliation_window","bar.reference_background_verification","targets","",""
"int.verification_discrepancy_disclosure_and_reconciliation_window->targets->bar.probation_period_post_start_confirmation","int.verification_discrepancy_disclosure_and_reconciliation_window","bar.probation_period_post_start_confirmation","targets","",""
"int.verification_discrepancy_disclosure_and_reconciliation_window->targets->mech.reference_check_discrepancy_or_regulatory_ineligibility","int.verification_discrepancy_disclosure_and_reconciliation_window","mech.reference_check_discrepancy_or_regulatory_ineligibility","targets","",""
"int.verification_discrepancy_disclosure_and_reconciliation_window->targets->mech.start_date_slippage_and_post_acceptance_revocation","int.verification_discrepancy_disclosure_and_reconciliation_window","mech.start_date_slippage_and_post_acceptance_revocation","targets","",""
"int.verification_discrepancy_disclosure_and_reconciliation_window->targets->mech.probation_used_as_extended_de_facto_interview","int.verification_discrepancy_disclosure_and_reconciliation_window","mech.probation_used_as_extended_de_facto_interview","targets","",""
